reaction_id,original_smiles,reaction_core,reaction_template
2336,[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[O:1](/[C:2](=[C:3](\[C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:8])[H:7])[H:9],[C:3][H:9].[O:1]>>[C:3].[O:1][H:9],C[#1].O>>C.O[#1]
2337,[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1](=[O:2])([H:7])[H:8].[C:3](\[C:4]([H:9])([H:10])[H:11])(=[N:5]\[H:12])[H:6],[C:1]([O:2][C:3])[H:6]>>[C:1]=[O:2].[C:3][H:6],C(OC)[#1]>>C=O.C[#1]
2338,[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:9])([H:6])([H:7])[H:8].[C:3](=[C:4]([H:10])[H:11])=[N:5][H:12],[O:2][C:3][C:4][H:9]>>[C:3]=[C:4].[O:2][H:9],OCC[#1]>>C=C.O[#1]
2339,[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3]#[N:5])([H:6])([H:7])[H:8].[C:4]([H:9])([H:10])([H:11])[H:12],[C:3]([C:4])=[N:5][H:12]>>[C:3]#[N:5].[C:4][H:12],C(C)=N[#1]>>C#N.C[#1]
2340,[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3](=[C:4]([H:10])[H:11])[N:5]([H:9])[H:12])([H:6])([H:7])[H:8],[C:4][H:9].[N:5]>>[C:4].[N:5][H:9],C[#1].N>>C.N[#1]
2341,[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1]([O+:2]=[C-:3][N:5]([C:4]([H:9])([H:10])[H:11])[H:12])([H:6])([H:7])[H:8],[O:2][C:3]([C:4])=[N:5]>>[O+:2]=[C-:3][N:5][C:4],OC(C)=N>>[O&+]=[C&-]NC
2342,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[C-:5]#[O+:6].[O:1]=[C:2]([C:3]([N:4]([H:10])[H:11])([H:8])[H:9])[H:7],[N:4][C:5](=[O:6])[H:11]>>[C-:5]#[O+:6].[N:4][H:11],NC(=O)[#1]>>[C&-]#[O&+].N[#1]
2343,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1](/[C:2](=[C:3](\[N:4]=[C:5](/[O:6][H:9])[H:11])[H:8])[H:7])[H:10],[C:3]([N:4][H:10])[H:9].[O:1].[O:6]>>[C:3][N:4].[O:1][H:10].[O:6][H:9],C(N[#1])[#1].O.O>>CN.O[#1].O[#1]
2344,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]1[C@:2]2([H:7])[C:3]([H:8])([H:9])[N:4]([H:10])[C@@:5]1([H:11])[O:6]2,[C:5]=[O:6].[O:1]=[C:2]>>[O:1]1[C:2][O:6][C:5]1,C=O.O=C>>O1COC1
2345,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O-:1][C:2](=[C:3]([N:4]([C+:5]([O:6][H:9])[H:11])[H:10])[H:8])[H:7],[C:3][H:9].[C:5]=[O:6].[O:1]>>[C+:5][O:6][H:9].[C:3].[O-:1],C[#1].C=O.O>>[C&+]O[#1].C.[O&-]
2346,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3]([O:6]/[C:5](=[N:4]/[H:10])[H:11])([H:8])[H:9])[H:7],[C:3][N:4].[O:6]>>[C:3][O:6].[N:4],CN.O>>CO.N
2347,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]([C@@:2]1([H:7])[C:3]([H:8])([H:9])[N:4]1[H:10])[C:5](=[O:6])[H:11],[N:4][C:5].[O:1]=[C:2]>>[O:1]([C:2][N:4])[C:5],NC.O=C>>O(CN)C
2348,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[H:10][H:11].[O:1]=[C:2]([C:3]([N:4]=[C:5]=[O:6])([H:8])[H:9])[H:7],[N:4]([C:5][H:11])[H:10]>>[H:10][H:11].[N:4]=[C:5],N(C[#1])[#1]>>[#1][#1].N=C
2349,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3](/[N:4]=[C:5](/[O:6][H:10])[H:11])([H:8])[H:9])[H:7],[N:4][H:10].[O:6]>>[N:4].[O:6][H:10],N[#1].O>>N.O[#1]
2350,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]([C:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:11])[H:8])([H:7])[H:9])[H:10],[O:1]=[C:2][C:3]([N:4][H:10])[H:9]>>[O:1]([C:2]([C:3]=[N:4])[H:9])[H:10],O=CC(N[#1])[#1]>>O(C(C=N)[#1])[#1]
2351,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([O+:6]=[C:5]([N:4]([C-:3]([H:8])[H:9])[H:10])[H:11])[H:7],[C:2][C:3].[O:6]>>[C-:3].[C:2][O+:6],CC.O>>[C&-].C[O&+]
2352,[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3]([N:4]([C:5][O:6][H:11])[H:10])([H:8])[H:9])[H:7],[C:5](=[O:6])[H:11]>>[C:5][O:6][H:11],C(=O)[#1]>>CO[#1]
2353,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[C:3](=[O:4])([H:9])[H:10].[O:1]([C:2](=[C:5]=[O:6])[H:8])[H:7],[C:2]1[C:3][O:4][C:5]1>>[C:2]=[C:5].[C:3]=[O:4],C1COC1>>C=C.C=O
2354,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O:1]1[C@@:2]2([H:8])[C:3]([H:9])([H:10])[O:4][C@@:5]12[O:6][H:7],[C:5]=[O:6].[O:1][H:7]>>[O:1][C:5][O:6][H:7],C=O.O[#1]>>OCO[#1]
2355,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O:1]([C:5]([O:4][C:3]([C:2][H:8])([H:9])[H:10])=[O:6])[H:7],[O:1][C:2][C:5]>>[C:2].[O:1][C:5],OCC>>C.OC
2356,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[C-:5]#[O+:6].[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4]1)[H:7],[C:2][C:5]([O:4])=[O:6]>>[C-:5]#[O+:6].[C:2][O:4],CC(O)=O>>[C&-]#[O&+].CO
2357,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O:1]([C:2]([C:5]([O+:4]=[C-:3][H:10])=[O:6])([H:8])[H:9])[H:7],[C:2][C:3]([O:4])[H:9]>>[C-:3]=[O+:4].[C:2][H:9],CC(O)[#1]>>[C&-]=[O&+].C[#1]
2358,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O:1]([C@@:2]1([H:8])[C@@:5]2([C:3]([H:9])([H:10])[O:4]2)[O:6]1)[H:7],[C:2]([C:3])[C:5]=[O:6]>>[C:2]1[C:5]([C:3])[O:6]1,C(C)C=O>>C1C(C)O1
2359,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O:1]([C+:2]=[C:5]([O:4][C:3]([H:8])([H:9])[H:10])[O-:6])[H:7],[C:2]([C:3])[H:8].[O:6]>>[C+:2].[C:3][H:8].[O-:6],C(C)[#1].O>>[C&+].C[#1].[O&-]
2360,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O:1]([C:2][C:3]([O:4][C:5](=[O:6])[H:8])([H:9])[H:10])[H:7],[C:2]([C:5])[H:8]>>[C:2].[C:5][H:8],C(C)[#1]>>C.C[#1]
2361,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O-:1][C@@:2]1([H:8])[C:3]([H:9])([H:10])[O+:4]=[C:5]1[O:6][H:7],[O:1][H:7].[O:4].[O:6]>>[O+:4].[O-:1].[O:6][H:7],O[#1].O.O>>[O&+].[O&-].O[#1]
2362,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O:1]([C:2]([C:3]([O:4][H:8])([H:9])[H:10])=[C:5]=[O:6])[H:7],[C:2]([C:5][O:4])[H:8]>>[C:2]=[C:5].[O:4][H:8],C(CO)[#1]>>C=C.O[#1]
2364,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O:1]([C:2]1=[C:5]([O:6][H:8])[O:4][C:3]1([H:9])[H:10])[H:7],[C:2][H:8].[O:6]>>[C:2].[O:6][H:8],C[#1].O>>C.O[#1]
2365,[C:1]1([H:6])([H:7])[C@:2]2([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C@:5]12[H:13]>>[C:1]1([H:6])([H:7])[C:2]([H:8])([H:13])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]1,[C:2][C:5][H:13]>>[C:2][H:13].[C:5],CC[#1]>>C[#1].C
2366,[C:1]1([H:6])([H:7])[C@:2]2([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C@:5]12[H:13]>>[C:1]([C:2][H:8])([C:5]1([H:13])[C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])([H:6])[H:7],[C:2]([C:3])[C:5]>>[C:2].[C:3][C:5],C(C)C>>C.CC
2367,[C:1]1([H:6])([H:7])[C@:2]2([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C@:5]12[H:13]>>[C:1]1([H:6])([H:7])[C@:2]([C:3]([C:4]([H:11])([H:12])[H:13])([H:9])[H:10])([H:8])[C:5]1,[C:4][C:5][H:13]>>[C:4][H:13].[C:5],CC[#1]>>C[#1].C
2368,[C:1]1([H:6])([H:7])[C@:2]2([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C@:5]12[H:13]>>[C:1]1([H:7])=[C:2]([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]1([H:6])[H:13],[C:1]1([H:6])[C:2][C:5]1>>[C:1](=[C:2])[C:5][H:6],C1([#1])CC1>>C(=C)C[#1]
2369,[C:1]1([H:6])([H:7])[C@:2]2([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C@:5]12[H:13]>>[C:1]([C@@:5]1([H:13])[C:2][C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])([H:6])([H:7])[H:8],[C:1][C:2][H:8]>>[C:1][H:8].[C:2],CC[#1]>>C[#1].C
2370,[C:1]1([H:6])([H:7])[C@:2]2([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C@:5]12[H:13]>>[C:1]1([H:6])([H:7])[C@:2]([C:3][H:9])([H:8])[C@:5]1([C:4]([H:10])([H:11])[H:12])[H:13],[C:3]([C:4])[H:10]>>[C:3].[C:4][H:10],C(C)[#1]>>C.C[#1]
2371,[C:1]([O:2][C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]>>[C-:1]([O+:2]=[C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)[H:10])([H:7])[H:8].[H:9][H:11],[C:1]([O:2][C:3][H:11])[H:9]>>[C-:1][O+:2]=[C:3].[H:9][H:11],C(OC[#1])[#1]>>[C&-][O&+]=C.[#1][#1]
2373,[C:1]([O:2][C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[O:2])([H:7])[H:8].[C:3](=[C:4]1[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11].[H:9][H:12],[C:1]([O:2][C:3][C:4][H:12])[H:9]>>[C:1]=[O:2].[C:3]=[C:4].[H:9][H:12],C(OCC[#1])[#1]>>C=O.C=C.[#1][#1]
2374,[C:1]([O:2][C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([C@@:4]([C+:5]([H:13])[H:14])([O-:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:5][O:6]>>[C+:5].[O-:6],CO>>[C&+].[O&-]
2375,[C:1]([O:2][C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([C@@:4]([C:5][H:14])([O:6][H:13])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:5]([O:6])[H:13]>>[C:5].[O:6][H:13],C(O)[#1]>>C.O[#1]
2376,[C:1]([O:2][C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([C-:4]=[O+:6][C:5]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:4]1([H:12])[C:5][O:6]1>>[C-:4]=[O+:6][C:5][H:12],C1([#1])CO1>>[C&-]=[O&+]C[#1]
2377,[C:1]([O:2][C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([C:4]([O+:6]=[C-:5][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:4]1[C:5]([H:13])[O:6]1>>[C:4]([O+:6]=[C-:5])[H:13],C1C([#1])O1>>C([O&+]=[C&-])[#1]
2378,[C:1]([O:2][C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2]/[C:3](=[C:4](\[C:5]([O:6][H:11])([H:13])[H:14])[H:12])[H:10])([H:7])([H:8])[H:9],[C:3]([C:4][O:6])[H:11]>>[C:3]=[C:4].[O:6][H:11],C(CO)[#1]>>C=C.O[#1]
2379,[C:1]([O:2][C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([H:10])([H:11])[H:13])([H:7])([H:8])[H:9].[C:4](=[C+:5][H:14])([O-:6])[H:12],[C:3][C:4]1[C:5]([H:13])[O:6]1>>[C:3][H:13].[C:4](=[C+:5])[O-:6],CC1C([#1])O1>>C[#1].C(=[C&+])[O&-]
2380,[C:1]([C:2]([O:3][C:4]([C:5]#[C:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]=[C:6]([H:11])[H:14])([H:12])[H:13],[C:2]([O:3][C:4][C:5]#[C:6])[H:11]>>[C:2]=[O:3].[C:4]=[C:5]=[C:6][H:11],C(OCC#C)[#1]>>C=O.C=C=C[#1]
2381,[C:1]([C:2]([O:3][C:4]([C:5]#[C:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][C:6](=[C:5]=[C:4]([H:12])[H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[O:3][C:4][C:5]#[C:6]>>[O:3][C:6]=[C:5]=[C:4],OCC#C>>OC=C=C
2382,[C:1]([C:2]([O:3][C:4]([C:5]#[C:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][C:4]([C:6](=[C:5])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:4][C:5]#[C:6]>>[C:4][C:6]=[C:5],CC#C>>CC=C
2383,[C:1]([C:2]([O:3][C:4]([C:5]#[C:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3]/[C:4](=[C:5](\[C:6][H:14])[H:13])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:4]([C:5]#[C:6])[H:13]>>[C:4]=[C:5]([C:6])[H:13],C(C#C)[#1]>>C=C(C)[#1]
2384,[C:1]([C:2]([O:3][C:4]([C:5]#[C:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:12])([H:13])[C:5]1=[C:6]([H:11])[H:14])([H:7])([H:8])[H:9],[C:2][H:11].[C:5]#[C:6]>>[C:2][C:5]=[C:6][H:11],C[#1].C#C>>CC=C[#1]
2385,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N-:4]([N+:5]#[C:6][H:10])[H:9].[N:1]([C:2]#[N:3])([H:7])[H:8],[c:2]1[n:3][n:4][n:5][c:6]1>>[C:2]#[N:3].[N-:4][N+:5]#[C:6],c1nnnc1>>C#N.[N&-][N&+]#C
2386,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N:1]([C:2]1=[C:6]=[N+:5]([H:10])[N:4]([H:9])[N-:3]1)([H:7])[H:8],[c:2]1[n:3][n:4][n:5][c:6]1[H:10]>>[C:2]1=[C:6]=[N+:5]([H:10])[N:4][N-:3]1,c1nnnc1[#1]>>C1=C=[N&+]([#1])N[N&-]1
2387,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N+:1]([C:2]1=[C:6]=[N:5][N:4]([H:9])[N-:3]1)([H:7])([H:8])[H:10],[N:1][c:2]1[n:3][n:4][n:5][c:6]1[H:10]>>[N+:1]([C:2]1=[C:6]=[N:5][N:4][N-:3]1)[H:10],Nc1nnnc1[#1]>>[N&+](C1=C=NN[N&-]1)[#1]
2388,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N:1]([C@:2]1(/[N:3]=[N:4]/[H:9])[N:5]=[C:6]1[H:10])([H:7])[H:8],[c:2]1[n:3][n:4][n:5][c:6]1>>[C:2]1([N:3]=[N:4])[N:5]=[C:6]1,c1nnnc1>>C1(N=N)N=C1
2389,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N:1]([c:2]1[n:3]([H:9])[n:4][n:5][c:6]1[H:10])([H:7])[H:8],[n:3][n:4][H:9]>>[n:3]([n:4])[H:9],nn[#1]>>n(n)[#1]
2390,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N:1]([c:2]1[n:3][n:4][n:5]([H:9])[c:6]1[H:10])([H:7])[H:8],[n:4]([n:5])[H:9]>>[n:4][n:5][H:9],n(n)[#1]>>nn[#1]
2391,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N:1]([C:2]1=[N:3][C@@:6]1(/[N:5]=[N:4]/[H:9])[H:10])([H:7])[H:8],[c:2]1[n:3][n:4][n:5][c:6]1>>[C:2]1=[N:3][C:6]1[N:5]=[N:4],c1nnnc1>>C1=NC1N=N
2392,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N:1](=[c:2]1/[n:3]([H:7])[n:4]([H:9])[n:5][c:6]1[H:10])\[H:8],[N:1]([c:2][n:3])[H:7]>>[N:1]=[c:2][n:3][H:7],N(cn)[#1]>>N=cn[#1]
2393,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N:1]([C:2]#[N+:3][N-:4][H:9])([H:7])[H:8].[N:5]#[C:6][H:10],[c:2]1[n:3][n:4][n:5][c:6]1>>[C:2]#[N+:3][N-:4].[N:5]#[C:6],c1nnnc1>>C#[N&+][N&-].N#C
2394,[N:1]([c:2]1[n:3][n:4]([H:9])[n:5][c:6]1[H:10])([H:7])[H:8]>>[N:1]([C:2]([N:3]=[N:4][H:9])=[C:6]=[N:5][H:10])([H:7])[H:8],[c:2]1[n:3][n:4][n:5][c:6]1[H:10]>>[C:2]([N:3]=[N:4])=[C:6]=[N:5][H:10],c1nnnc1[#1]>>C(N=N)=C=N[#1]
2395,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]=[C:3]([H:10])[H:11])([H:7])([H:8])[H:9].[O:4]=[C:5]=[O:6],[C:3][O:4][C:5][H:11]>>[C:3][H:11].[O:4]=[C:5],COC[#1]>>C[#1].O=C
2396,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[N:2][C:3](=[O:4])[H:10])([H:7])[H:9].[C:5](=[O:6])([H:8])[H:11],[C:1][H:8].[O:4][C:5]>>[C:1].[C:5][H:8].[O:4],C[#1].OC>>C.C[#1].O
2397,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C-:3]=[O+:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9],[N:2]=[C:3]([O:4])[H:10]>>[N:2]([C-:3]=[O+:4])[H:10],N=C(O)[#1]>>N([C&-]=[O&+])[#1]
2398,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]1([H:7])([H:9])[N:2]=[C:3]([H:10])[O:4][C@:5]1([O:6][H:8])[H:11],[C:1][H:8].[C:5]=[O:6]>>[C:1][C:5][O:6][H:8],C[#1].C=O>>CCO[#1]
2399,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C:3](=[O:4])[H:10])[C:5](=[O:6])[H:11])([H:7])([H:8])[H:9],[N:2].[O:4][C:5]>>[N:2][C:5].[O:4],N.OC>>NC.O
2400,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C-:1]([N:2]([C:3](=[O+:4][C:5](=[O:6])[H:11])[H:10])[H:8])([H:7])[H:9],[C:1]([N:2])[H:8].[O:4]>>[C-:1][N:2][H:8].[O+:4],C(N)[#1].O>>[C&-]N[#1].[O&+]
2401,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N+:2]#[C-:3])([H:7])([H:8])[H:9].[O:4]=[C:5]([O:6][H:10])[H:11],[N:2]=[C:3]([O:4])[H:10].[O:6]>>[N+:2]#[C-:3].[O:4].[O:6][H:10],N=C(O)[#1].O>>[N&+]#[C&-].O.O[#1]
2402,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](\[O+:4]=[C-:5][O:6][H:11])[H:10])([H:7])([H:8])[H:9],[O:4][C:5](=[O:6])[H:11]>>[O+:4]=[C-:5][O:6][H:11],OC(=O)[#1]>>[O&+]=[C&-]O[#1]
2403,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[N:2][C:3]([O:4][C:5](=[O:6])[H:11])([H:8])[H:10])([H:7])[H:9],[C:1][H:8].[C:3]>>[C:1].[C:3][H:8],C[#1].C>>C.C[#1]
2404,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([O:4][C:5](=[O:6])[H:11])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],[C:1]/[N:2]=[C:3]\[O:4]>>[C:1][O:4].[N:2]#[C:3],C/N=C\O>>CO.N#C
2405,[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C:3]([H:9])([H:10])[O:4][C@@:5]12[H:11]>>[C:1]([C@@:5]1([H:11])[C:2][C:3]([H:9])([H:10])[O:4]1)([H:6])([H:7])[H:8],[C:1][C:2][H:8]>>[C:1][H:8].[C:2],CC[#1]>>C[#1].C
2406,[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C:3]([H:9])([H:10])[O:4][C@@:5]12[H:11]>>[C:1]1([H:6])([H:7])[C:2]([H:8])([H:11])[C:3]([H:9])([H:10])[O+:4]=[C-:5]1,[C:2][C:5]([O:4])[H:11]>>[C:2][H:11].[O+:4]=[C-:5],CC(O)[#1]>>C[#1].[O&+]=[C&-]
2407,[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C:3]([H:9])([H:10])[O:4][C@@:5]12[H:11]>>[C:1]([C:2]1([H:8])[C-:3]([H:10])[O+:4]=[C:5]1[H:11])([H:6])([H:7])[H:9],[C:1][C:5][O:4][C:3][H:9]>>[C-:3][O+:4]=[C:5].[C:1][H:9],CCOC[#1]>>[C&-][O&+]=C.C[#1]
2408,[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C:3]([H:9])([H:10])[O:4][C@@:5]12[H:11]>>[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C-:3]([H:9])[O+:4]=[C:5]12.[H:10][H:11],[C:3]([O:4][C:5][H:11])[H:10]>>[C-:3][O+:4]=[C:5].[H:10][H:11],C(OC[#1])[#1]>>[C&-][O&+]=C.[#1][#1]
2409,[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C:3]([H:9])([H:10])[O:4][C@@:5]12[H:11]>>[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C-:3]=[O+:4][C@@:5]12[H:11].[H:9][H:10],[C:3]([O:4])([H:9])[H:10]>>[C-:3]=[O+:4].[H:9][H:10],C(O)([#1])[#1]>>[C&-]=[O&+].[#1][#1]
2410,[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C:3]([H:9])([H:10])[O:4][C@@:5]12[H:11]>>[C:1]1([H:6])([H:7])[C:2][C:3]([H:9])([H:10])[O:4][C:5]1([H:8])[H:11],[C:2]([C:5])[H:8]>>[C:2].[C:5][H:8],C(C)[#1]>>C.C[#1]
