reaction_type_index,reaction_type,reaction_indices
241,c1c([#1])ccn1>>C1([#1])[C&-]=C[C&+]N1,"[1079, 2087, 4219, 6929, 8583, 10038, 11075]"
242,C[#1].O[#1]>>C.[#1][#1].O,"[3065, 3636, 3717, 6825, 7670, 7892, 10677]"
243,O(CC)[#1].O>>C.O=C.O[#1],"[616, 3502, 4262, 7156, 8367, 9993, 10421]"
244,C[#1].c[#1]>>[C&+].[#1][#1].[c&-],"[694, 2089, 8586, 10494, 11087, 11339, 11345]"
245,O(CCC#C)[#1]>>C=C=C[#1].O=C,"[200, 2168, 2239, 5847, 8025, 8342, 10423]"
246,N.n[#1]>>[N&+][#1].n,"[361, 1078, 5390, 6924, 8467, 10498, 11176]"
247,O=CCC>>O1C(C)C1,"[1492, 2678, 3318, 9383, 10588, 11416, 11660]"
248,C(C)[#1].O>>[C&-][O&+].C[#1],"[672, 1544, 1832, 2821, 5161, 9279, 11767]"
249,C(OC)[#1].O>>C=O.C.O[#1],"[60, 177, 1163, 5741, 6392, 10083, 10711]"
250,C1C([#1])COC1>>C=CC[#1].O=C,"[572, 1733, 3242, 4933, 6728, 10387, 11656]"
251,C1CC1C>>C=CCC,"[1488, 6265, 8459, 9027, 10107, 10600, 10886]"
252,CCN>>CN.C,"[1024, 2706, 7562, 7972, 9862, 11116, 11731]"
253,C[#1].NC>>CC.N[#1],"[1830, 7007, 7860, 10436, 10645, 11524, 11776]"
254,C1C(C[#1])C1>>C=C.C(=C)[#1],"[576, 3263, 5778, 7381, 9531, 11170, 11318]"
255,CN.O>>C.ON,"[790, 2192, 5489, 6640, 6754, 6799, 7497]"
256,C[#1].n>>[C&-].n[#1],"[1577, 1946, 2657, 7236, 9083, 9501, 11760]"
257,C=NO[#1]>>[C&+]N([O&-])[#1],"[3063, 3659, 3705, 6818, 7666, 7891, 11591]"
258,OCC(O[#1])[#1]>>C(C=O)[#1].O[#1],"[4, 1348, 2980, 4123, 4258, 4373, 5018]"
259,C=O.C[#1]>>C(O[#1])C,"[1294, 1635, 7145, 7872, 8121, 10449, 10733]"
260,Cn1cccc1>>CC1N=CC=C1,"[512, 8877, 8878, 8900, 8919, 9155, 9163]"
261,C(OCC[#1])[#1]>>C=O.C=C.[#1][#1],"[1248, 2373, 5022, 5566, 10086, 10309, 11132]"
262,c1nocc1>>C1=NC1C=O,"[320, 1227, 2838, 7456, 8545, 8753, 9611]"
263,C(OCC#C)[#1]>>C=O.C=C=C[#1],"[2108, 2380, 5712, 6047, 6524, 11301, 11558]"
264,CC(C#C)[#1]>>[C&-]=C=[C&+].C[#1],"[3374, 3509, 3909, 5845, 5846, 9532, 11674]"
265,CC1OC1>>CCC=O,"[146, 306, 5057, 5809, 6517, 7369, 7690]"
266,C1C([#1])O1>>C(C=O)[#1],"[1642, 6100, 9319, 9869, 10160, 10562, 11494]"
267,C(=C[#1])[#1]>>C#C.[#1][#1],"[893, 4385, 7416, 7814, 8774, 9095, 11259]"
268,C(CC1CC1)[#1]>>C=C.C(=C)C[#1],"[769, 850, 2969, 3449, 6372, 10061, 10813]"
269,C(C(C)C[#1])[#1]>>C=CCC.[#1][#1],"[271, 6152, 8498, 9663, 10320, 10392, 11534]"
270,CC.O>>[C&+].C.[O&-],"[1451, 2196, 3279, 5488, 7494, 9992, 11778]"
271,NC(=O)[#1]>>[C&-]#[O&+].N[#1],"[2342, 3877, 5621, 5928, 6476, 6620, 11578]"
272,O(C(C)C[#1])[#1]>>[#1][#1].O=CCC,"[656, 2250, 4891, 8415, 9605, 9859, 10154]"
273,C#N.O[#1]>>O/C=N\[#1],"[5830, 6544, 6978, 9921, 10835, 11243, 11377]"
274,CC.O[#1]>>C[#1].OC,"[730, 747, 3040, 5013, 7516, 7572, 7574]"
275,NC(=O)[#1]>>[N&+]=[C&-]O[#1],"[40, 1087, 2520, 3427, 5033, 5590, 7918]"
276,C(CC1CO1)[#1]>>C=C.C(C[#1])=O,"[1119, 2557, 2611, 3557, 4903, 11149, 11500]"
277,NC[#1].O>>N([C&-])[#1].[O&+],"[2925, 3517, 4985, 5131, 6305, 7383, 9405]"
278,N[#1].n>>[N&-].n[#1],"[88, 2872, 3088, 5718, 6488, 11453, 11936]"
279,NCC#N>>NN=C=C,"[2447, 2847, 2967, 6960, 7161, 9050, 9918]"
280,C1CCN1>>C=C.C=N,"[95, 594, 2429, 2469, 8868, 10148]"
281,C([#1])[#1]>>C.[#1][#1],"[578, 591, 7278, 9659, 9708, 10728]"
282,c1cn([#1])cn1>>C1=NC=NC1[#1],"[79, 1272, 2489, 8305, 10420, 11941]"
283,c1cn([#1])cc1>>C1=CC=NC1[#1],"[695, 4036, 5667, 6841, 8819, 10496]"
284,C(OCC)[#1]>>C=[O&+][C&-].C[#1],"[1251, 1887, 5496, 5611, 9170, 10925]"
285,C(NC(=O)[#1])[#1]>>[C&-]#[O&+].C=N.[#1][#1],"[3899, 4568, 4570, 5822, 5926, 11567]"
286,C#CC#C>>C12C3=C1C23,"[1138, 2123, 2637, 2731, 2947, 9522]"
287,OCC#N>>OC1=NC1,"[339, 1398, 5495, 5686, 6020, 6457]"
288,c1cn([#1])cn1>>C1=NC([#1])N=C1,"[87, 1271, 2482, 8314, 10408, 11945]"
289,OCCCO[#1]>>C=C.C=O.O[#1],"[713, 3358, 8016, 9276, 10801, 11545]"
290,c1ccc([#1])o1>>C1=CC([#1])[C&-]=[O&+]1,"[2182, 2940, 6859, 9789, 10692, 10946]"
291,C(C)N>>[C&-][N&+]C,"[2512, 3386, 6062, 6958, 8869, 9904]"
292,O=C(C)[#1]>>C[#1].[O&+]#[C&-],"[1788, 5842, 6080, 6632, 10591, 10767]"
293,c1cn([#1])cc1>>C1=CC([#1])N=C1,"[690, 4035, 5663, 6839, 8809, 10495]"
294,OC(=O)C>>[O&+]=[C&-]OC,"[166, 1330, 5704, 6347, 8484, 9294]"
295,OC(O)[#1]>>[O&+]=[C&-].O[#1],"[124, 5917, 6278, 6601, 7112, 8137]"
296,C(CN)[#1]>>C=C.N[#1],"[3739, 4881, 7965, 8000, 8102, 9255]"
297,OC(=O)[#1]>>[C&-]#[O&+].O[#1],"[1930, 2156, 5422, 5461, 6878, 9480]"
298,C(C)OC[#1]>>C=[O&+][C&-].C[#1],"[1526, 6296, 7039, 8127, 10867, 10924]"
299,c1cncc1[#1]>>C1=[C&-]C([#1])N[C&+]1,"[687, 4040, 5676, 6850, 8812, 10499]"
300,NC([#1])[#1]>>[#1][#1].[N&+]=[C&-],"[2927, 4988, 5445, 6498, 7063, 9420]"
301,CC.N>>C.NC,"[1557, 3639, 7895, 8339, 10667, 11229]"
302,C(O[#1])(C=O)[#1]>>C(=O)C(O[#1])[#1],"[393, 3026, 4261, 9722, 9972, 10204]"
303,C1(C)CO1>>[C&-]=[O&+]CC,"[294, 4326, 4902, 5798, 7594, 10458]"
304,C[#1].C#N>>C[N&+](=[C&-])[#1],"[375, 1603, 3938, 8568, 10597, 10699]"
305,C1(C)CO1>>C(CC)=O,"[290, 4905, 5695, 5807, 9316, 11145]"
306,C[#1].C#N>>[C&+].[C&-]=N[#1],"[254, 3763, 3816, 6163, 9897, 11312]"
307,C1CN1[#1]>>C(N=C)[#1],"[792, 1142, 2581, 4195, 5536, 11531]"
308,c1c([#1])ccn1>>C1=[C&-]C([#1])[C&+]N1,"[1070, 2091, 4220, 6916, 8589, 10029]"
309,C[#1].C#N>>[C&+]=N[#1].[C&-],"[1400, 2474, 3476, 4027, 6165, 10612]"
310,C(O)[#1].O>>[C&+].[O&-].O[#1],"[212, 1625, 1989, 2628, 2798, 4366]"
311,C(C1NC1)[#1]>>C=C[#1].N=C,"[1311, 2253, 3384, 6962, 7623, 9649]"
312,c1c([#1])ncn1>>C1([#1])[C&-]=[N&+]C=N1,"[90, 1263, 2487, 8313, 10417, 11939]"
313,C(CCC#C)[#1]>>C=C.C1C([#1])=C1,"[346, 3382, 3512, 6530, 9527, 11671]"
314,c1nocc1[#1]>>C(N=O)=C=C[#1],"[316, 1231, 2842, 7450, 8548, 8755]"
315,CC1OCC1>>CCC=[O&+][C&-],"[3755, 8771, 10650, 10870, 11061, 11809]"
316,CC1OC1>>CC[O&+]=[C&-],"[5808, 6390, 6513, 7360, 7685, 8649]"
317,N(=CO)[#1]>>N#C.O[#1],"[122, 887, 1559, 4374, 5910, 8328]"
318,OC(C)C>>CC.[O&+]=[C&-],"[3913, 4821, 6208, 8173, 8399, 11230]"
319,C(C[#1])CC[#1]>>C=C.C=C.[#1][#1],"[1807, 3264, 3446, 5576, 10249, 10334]"
320,C(NCC#N)[#1]>>C=N.C=C=N[#1],"[2444, 2851, 2966, 6553, 7176, 11848]"
321,c1cc([#1])cn1>>[C&+]1C([#1])[C&-]=CN1,"[1061, 2095, 4215, 7190, 8473, 11354]"
322,C(CCC[#1])[#1]>>C=C.C(C[#1])[#1],"[3811, 7565, 9709, 10585, 11165, 11860]"
323,n.n>>nn,"[242, 1035, 6532, 6989, 7949, 10936]"
324,C(n1cccc1)[#1]>>[C&-][N&+]1=CC=CC1[#1],"[506, 8872, 8888, 8907, 8913, 9152]"
325,C(C1CN1)[#1]>>C=C[#1].C=N,"[461, 1737, 3283, 5994, 10147, 11519]"
326,C[#1].C(O)[#1]>>[C&-].C=[O&+].[#1][#1],"[332, 547, 611, 2553, 2741, 6201]"
327,C.CC>>CC.C,"[475, 484, 7731, 7736, 7787, 8224]"
328,c1cncc1[#1]>>C(C=N)=C=C[#1],"[688, 4034, 5664, 6838, 8817, 10497]"
329,C(C)C#C>>C=C(C)C,"[277, 2105, 3906, 9743, 10459, 11559]"
330,C(CO)[#1]>>C(C[#1])O,"[896, 1883, 4169, 5616, 9397]"
331,C(O[#1])CC[#1]>>C=O.C=C.[#1][#1],"[753, 7055, 7577, 8677, 11235]"
332,NC.O>>C.NO,"[974, 5936, 6092, 6871, 7284]"
333,COC[#1]>>C[#1].C=O,"[2285, 2921, 5914, 8331, 10903]"
334,C(N)([#1])[#1]>>[C&-]=[N&+].[#1][#1],"[2114, 6116, 9754, 10544, 11781]"
335,C(O[#1])[#1].C=O>>C=O.C(O[#1])[#1],"[6478, 6606, 7097, 7826, 11960]"
336,COCCC[#1]>>C[#1].C=C.O=C,"[2226, 7139, 8404, 8660, 11141]"
337,C(O)C#N>>C1C(O)=N1,"[2854, 4182, 4329, 4453, 11892]"
338,C(CC1CC1)[#1]>>C=C.C(C[#1])=C,"[1861, 7568, 10177, 10758, 11696]"
339,C(OC[#1])[#1].O>>C=[O&+]C.[#1][#1].[O&-],"[57, 172, 4926, 10087, 10714]"
340,C(c1cccn1)[#1]>>C=C1C=CC([#1])N1,"[2101, 7189, 8574, 11081, 11338]"
341,O(C(C[#1])C)[#1]>>[#1][#1].O=CCC,"[33, 460, 1725, 2701, 8413]"
342,C[#1].C(=O)[#1]>>[C&-].C#[O&+].[#1][#1],"[1028, 2826, 3275, 6258, 9983]"
343,C(CC=O)[#1]>>C=C.CO[#1],"[1053, 5894, 5965, 6063, 10346]"
344,CO.N>>NC.O,"[121, 1554, 2922, 6595, 8325]"
345,CO.N[#1]>>NC.O[#1],"[2750, 5838, 5950, 9638, 10734]"
346,C(CC)C>>C=C.CC,"[4923, 8149, 10705, 11128, 11734]"
347,C(CCCC)[#1]>>C=C.C=C.C[#1],"[770, 849, 7443, 7564, 7619]"
348,C[#1].NC>>CN.C[#1],"[1358, 3961, 10247, 11462, 11574]"
349,C[#1].C=O.O>>C.OCO[#1],"[1416, 3030, 3425, 9947, 10197]"
350,CNCC>>CC.N=C,"[626, 2313, 7166, 8243, 10301]"
351,N1CCC1>>C=C.N=C,"[707, 2901, 2911, 9345, 9359]"
352,C(C[#1])CO[#1]>>C=C.C=O.[#1][#1],"[2771, 2994, 4679, 5261, 11370]"
353,N[#1].N>>N.N[#1],"[2301, 3702, 4745, 10222, 11786]"
354,C(CC#N)[#1]>>C=C.C=N[#1],"[489, 2625, 3551, 6977, 11245]"
355,C(OCC#N)[#1]>>C=O.C=C=N[#1],"[376, 4816, 5494, 6018, 6465]"
356,C(O[#1])(CO)[#1]>>C(=O)C[#1].O[#1],"[1276, 2016, 3925, 7058, 8077]"
357,N=C(O)[#1]>>[N&+]#[C&-].O[#1],"[4539, 6108, 6774, 9760, 10552]"
358,C[#1].C=O>>COC[#1],"[979, 6007, 6411, 7194, 8103]"
359,C[#1].N[#1]>>C.[#1][#1].N,"[2533, 7015, 7797, 7798, 8721]"
360,NC(C)[#1]>>C[#1].[N&+]=[C&-],"[2315, 2912, 5460, 6496, 7074]"
361,Cnn>>Cnn,"[413, 1757, 5886, 6381, 9075]"
362,c(O[#1])n>>c(=O)n[#1],"[8828, 9513, 10419, 11443, 11937]"
363,c1nocc1[#1]>>C1=C=CON1[#1],"[313, 2840, 7458, 8546, 9617]"
364,C1OC1C>>C([O&+]=[C&-])C,"[309, 1850, 2987, 4653, 7698]"
365,C#CCC>>[C&-]=C([C&+])C,"[230, 1428, 3729, 8358, 9219]"
366,C(C(C[#1])[#1])[#1]>>C=CC[#1].[#1][#1],"[29, 4021, 6360, 7721, 11363]"
367,C#CCO>>C(=C=C)O,"[549, 1640, 1701, 2235, 5222]"
368,c1c([#1])ncc1>>C1([#1])CNC=C1,"[691, 4038, 5669, 6836, 10491]"
369,C#CC[#1]>>[C&-]=C([C&+])[#1],"[3328, 5604, 6053, 9199, 10809]"
370,c1c([#1])occ1>>C1([#1])[C&-]=[O&+]C=C1,"[963, 1835, 7655, 11689, 11719]"
371,C#C[#1]>>C(=C)[#1],"[1253, 4652, 4962, 7505, 9286]"
372,c1cc([#1])cn1>>C(C=C=C[#1])=N,"[1076, 2103, 4218, 10024, 11333]"
373,c1cc([#1])cn1>>[C&+]1C=[C&-]C([#1])N1,"[1075, 2093, 4221, 7191, 10032]"
374,C=O.C>>C.O=C,"[1331, 3185, 5468, 7924, 9281]"
375,C=O.N[#1]>>NCO[#1],"[5941, 7289, 8248, 10068, 10352]"
376,c(=O)n[#1]>>c(O[#1])n,"[7335, 7470, 7773, 9143, 11399]"
377,C(C#C)[#1].O>>C=C([C&+])[#1].[O&-],"[1209, 1478, 3722, 4694, 11325]"
378,C=O.O=C>>O1COC1,"[2344, 3032, 4762, 5199, 6796]"
379,c1cccn1>>C12C=CC1N2,"[1063, 4223, 6925, 8587, 10021]"
380,C.OC>>C.OC,"[180, 3872, 6670, 9823, 11254]"
381,c1ccnn1>>C(C1C=N1)=N,"[1794, 3213, 5395, 8824, 11758]"
382,c1ccnn1[#1]>>C1([#1])C=CN=N1,"[1800, 3207, 5391, 8826, 11753]"
383,C1([#1])CC1>>C(=C)C[#1],"[2368, 6014, 9103, 11157, 11430]"
384,C(C)CN>>C=C.CN,"[110, 455, 2708, 3653, 7625]"
385,c1cn([#1])nn1>>C1=NN=NC1[#1],"[600, 3007, 4605, 7956, 9008]"
386,C(=O)C(O[#1])[#1]>>C(O[#1])(C=O)[#1],"[1882, 4708, 5163, 6429, 7514]"
387,C(=O)C(=O)[#1]>>[C&-]#[O&+].CO[#1],"[1168, 2761, 4472, 4854, 10509]"
388,CC(O)C>>[C&-]=[O&+].CC,"[2626, 3568, 8495, 9022, 9023]"
389,C(=N)[#1]>>[C&-]=[N&+][#1],"[1690, 3696, 4743, 7858, 8994]"
390,c1cncc1[#1]>>C1=C=CNC1[#1],"[4049, 5672, 6849, 8802, 10483]"
391,CC(O[#1])CC>>CCC=O.C[#1],"[2716, 5193, 7833, 8679, 8732]"
392,CC1CN1>>CCC=N,"[458, 2223, 7967, 9855, 10368]"
393,C1CC([#1])CO1>>C=O.C=CC[#1],"[1560, 2279, 8131, 10904, 10928]"
394,OC(=N)[#1]>>[C&-]#[N&+].O[#1],"[4154, 4990, 7247, 7385, 9414]"
395,n1cc([#1])cc1>>N1C([#1])[C&-]=C[C&+]1,"[509, 1258, 8887, 8904, 9150]"
396,C1CCN1>>C=N.C=C,"[2426, 2468, 8866, 10145, 10369]"
397,CCC[#1].O>>C.C=C.O[#1],"[3294, 5532, 8760, 10773, 11359]"
398,C1CCC([#1])O1>>C=C.C(C=O)[#1],"[1546, 2288, 5584, 5854, 10930]"
399,O=cn[#1]>>O(cn)[#1],"[597, 4625, 4800, 6320, 6536]"
400,C1C([#1])OCO1>>C(C=O)[#1].C=O,"[118, 5916, 6286, 6593, 7114]"
401,CCCCO[#1]>>C[#1].C=C.C=O,"[1911, 3544, 8302, 10188, 11034]"
402,O=CCO>>O1C(O)C1,"[1986, 4924, 5915, 8531, 10542]"
403,C1CO1.O>>C[O&+]=C.[O&-],"[210, 1634, 2807, 5752, 11665]"
404,C(C)CO>>C=C.CO,"[521, 574, 1915, 2998, 11604]"
405,c1cncc1[#1]>>C1([#1])[C&+]NC=[C&-]1,"[697, 4033, 6848, 8807, 10482]"
406,c1cocc1>>C1(C=O)C=C1,"[964, 7652, 11686, 11722]"
407,C#N.O=C>>O=CN=C,"[1605, 3315, 3941, 10593]"
408,c1cocc1>>C1=CC1C=O,"[973, 1847, 7647, 11687]"
409,Cc1cccn1>>CC1CNC=C1,"[2094, 8578, 11077, 11352]"
410,c1cocc1>>C1=CC2C1O2,"[971, 1841, 7646, 11714]"
411,C(NC[#1])[#1].O>>C=[N&+]C.[#1][#1].[O&-],"[712, 986, 6002, 6867]"
412,C[#1].C(C#N)[#1]>>[C&+].C=C=[N&-].[#1][#1],"[2452, 2843, 5228, 6549]"
413,C(C[#1])C>>C(C)[#1].C,"[818, 7820, 9087, 11920]"
414,C#N.C[#1]>>C(=N[#1])C,"[8851, 9045, 9047, 9745]"
415,C=O.O(C[#1])[#1]>>C(O[#1])[#1].O=C,"[1939, 3881, 8374, 9762]"
416,Ccn>>C[n&+][c&-],"[1269, 2065, 9517, 10413]"
417,C(C[#1])C(=O)[#1]>>[C&-]#[O&+].C=C.[#1][#1],"[1031, 1221, 5745, 10094]"
418,C#CC(C)[#1]>>[C&+]=C=[C&-].C[#1],"[1427, 2220, 5602, 5642]"
419,C(=NC[#1])[#1]>>[C&-]=[N&+]=C.[#1][#1],"[4982, 6311, 6328, 9417]"
420,c1cncn1>>C1=CN1C=N,"[798, 1275, 7482, 8689]"
421,C#CC#N>>C(=[C&-])[N&+]#C,"[582, 1314, 1711, 6175]"
422,Cc1ccco1>>CC1[C&-]=[O&+]C=C1,"[2936, 6855, 10689, 10944]"
423,CC(O)=O>>[C&-]#[O&+].CO,"[1328, 2356, 5933, 10719]"
424,CC(N)[#1]>>C[#1].[N&+]=[C&-],"[4986, 5140, 7371, 7389]"
425,CC(C[#1])[#1]>>C[#1].C(=C)[#1],"[1541, 2082, 7611, 10109]"
426,Cc1nocc1>>CN=C=CC=O,"[2841, 7451, 8544, 8756]"
427,C1CC1[#1]>>C(C=C)[#1],"[4308, 8456, 8525, 9834]"
428,C(O[#1])C#N>>C=O.C=N[#1],"[2859, 4331, 4454, 11890]"
429,Cc1cocc1>>CC=C=CC=O,"[969, 7650, 11693, 11718]"
430,C(O)C(O[#1])[#1]>>C(C=O)[#1].O[#1],"[1280, 4684, 8080, 9714]"
431,c1cnnc1[#1]>>C(C=N)=C=N[#1],"[442, 1771, 5242, 10253]"
432,c1cnnn1>>C#C.N=[N&+]=[N&-],"[601, 3005, 4604, 7961]"
433,C#C.OC>>O/C=C\C,"[201, 8023, 8197, 8345]"
434,c1cnnn1>>[C&-](C=N)[N&+]#N,"[3006, 4603, 7959, 9011]"
435,c1coc([#1])c1>>C1=C[O&+]=[C&-]C1[#1],"[967, 1834, 7654, 11725]"
436,N=C[#1]>>[N&+](=[C&-])[#1],"[41, 832, 4003, 5589]"
437,c1nncc1[#1]>>C1=C=CNN1[#1],"[914, 5551, 9489, 11623]"
438,C(N)C>>C.NC,"[3273, 3762, 8251, 10343]"
439,n1cc([#1])cc1>>N1C=[C&-]C([#1])[C&+]1,"[1261, 8883, 8912, 9151]"
440,N(c)[#1].n>>N=c.n[#1],"[363, 4614, 5400, 6145]"
441,c1nncc1[#1]>>C1=[C&+]C([#1])N[N&-]1,"[919, 5548, 9493, 11617]"
442,c1nncn1>>C1=NN1C=N,"[398, 5176, 7326, 11449]"
443,C1C([#1])N1.O>>CC=N.O[#1],"[780, 3286, 9981, 10338]"
444,c1nocc1>>C#[N&+][O&-].C#C,"[1226, 2839, 7447, 9618]"
445,C(C[#1])N>>C(C)[#1].N,"[838, 3994, 6223, 8052]"
446,C1NC1C[#1]>>C=N.C(=C)[#1],"[3735, 9131, 9635, 11523]"
447,C1NCC1>>C=C.N=C,"[4827, 10636, 11592, 11701]"
448,C[#1].NC[#1].O>>C.[#1][#1].[N&+]=C.[O&-],"[4795, 6759, 7073, 8941]"
449,c1nocc1[#1]>>C1=[C&+]C([#1])O[N&-]1,"[317, 1228, 7448, 9616]"
450,C(N)[#1].O>>[C&-][N&+].O[#1],"[4572, 6801, 8942, 10127]"
451,C1OC([#1])CC1>>C=C.O=CC[#1],"[6912, 7130, 7407, 8446]"
452,nc[#1]>>[n&+]([c&-])[#1],"[371, 3682, 7989, 8975]"
453,n1c([#1])ccc1>>[N&+]1([#1])[C&-]=CC=C1,"[1259, 8885, 8902, 9165]"
454,C1C([#1])NC1=O>>[C&-]#[O&+].C(C=N)[#1],"[1457, 1827, 8933, 11774]"
455,C[#1].C1CC1>>CC[#1].C=C,"[773, 10394, 10404, 10769]"
456,C1CN1.O>>C[N&+]=C.[O&-],"[788, 6627, 6802, 10344]"
457,C1C(C)C1>>C=CCC,"[2411, 3793, 9354, 11163]"
458,C1CN1>>[C&-][N&+]=C,"[2510, 8597, 9905, 11697]"
459,C1C(C)N1>>C=CNC,"[2430, 6624, 8860, 11708]"
460,C=O.C#C>>C=CC=O,"[722, 1966, 1967, 10434]"
461,C1CN1C>>C(N=C)C,"[2647, 4599, 6780, 9907]"
462,c1nccn1[#1]>>C1([#1])N=CC=N1,"[4296, 7273, 9671, 11183]"
463,N(c1cccn1)[#1]>>N=C1C=CC([#1])N1,"[1066, 6918, 8480, 10028]"
464,c1nn([#1])cc1>>C1=CC([#1])N=N1,"[912, 5555, 9497, 11626]"
465,c1nn([#1])cn1>>C1=NC([#1])N=N1,"[407, 5184, 7312, 11447]"
466,C(C[#1])[#1].O=C>>C=C.O(C[#1])[#1],"[2328, 6270, 10771, 10772]"
467,c1nnc([#1])c1>>C1=N[N&+]([#1])[C&-]=C1,"[904, 5554, 9503, 11628]"
468,C1CC([#1])CC1>>C=C.C=CC[#1],"[4960, 8674, 9711, 10620]"
469,C1OCCC1>>[C&-][O&+]=C.C=C,"[8130, 8170, 8174, 9846]"
470,c1nncc1>>C1=NC1C=N,"[906, 5552, 9494, 11625]"
471,C(N)C#N>>C1C(N)=N1,"[1979, 3744, 5067, 6059]"
472,n1cc([#1])cc1>>N=CC=C=C[#1],"[507, 8882, 8903, 9161]"
473,c1nccn1[#1]>>C1=NC([#1])C=N1,"[4303, 7270, 9684, 11185]"
474,OCC=O>>OC1CO1,"[176, 5740, 8391, 10092]"
475,C.CO>>CO.C,"[5779, 7747, 7816, 8640]"
476,O(N=C)[#1]>>[O&-]N([C&+])[#1],"[420, 1653, 3634, 10675]"
477,C(CCN[#1])[#1]>>C=C.C=N.[#1][#1],"[6399, 7624, 8729, 11580]"
478,C(CCNC)[#1]>>C=C.C=N.C[#1],"[3965, 6611, 8231, 11581]"
479,OCN[#1]>>C=N.O[#1],"[809, 2595, 7908, 8628]"
480,c1cc([#1])cn1>>C1([#1])C=C=CN1,"[2098, 4225, 8474, 10030]"
481,C(CCC[#1])[#1]>>C(C[#1])[#1].C=C,"[999, 1483, 9779, 11925]"
482,O(C[#1])[#1].O>>O(C)[#1].O[#1],"[216, 1669, 2243, 4243]"
483,C(CC(O)[#1])[#1]>>C=C.[#1][#1].[O&+]=[C&-],"[2141, 7357, 10997, 11393]"
484,CC1CO1>>CCC=O,"[942, 1015, 2143, 7904]"
485,C(n1cccc1)[#1]>>[C&-][N&+]1=CC([#1])C=C1,"[513, 8876, 8906, 8917]"
486,O[#1].n>>[O&-].n[#1],"[2490, 3175, 4607, 8318]"
487,c1c([#1])ocn1>>C1([#1])[C&-]=[O&+]C=N1,"[2071, 3084, 3176, 9505]"
488,CCCCC[#1]>>C[#1].C=C.C=C,"[7434, 10818, 10906, 11056]"
489,c1cc([#1])co1>>C(C=C=C[#1])=O,"[2180, 2939, 10683, 10952]"
490,c1c([#1])nnc1>>C1([#1])CNN=C1,"[447, 1764, 5245, 10252]"
491,O(CCCC)[#1]>>C=C.C[#1].O=C,"[4086, 4312, 7517, 10931]"
492,c1c([#1])ncc1>>C1=[C&-][N&+]([#1])C=C1,"[681, 4047, 5662, 10479]"
493,C(C)(C#N)[#1]>>[C&+]=C=[N&-].C[#1],"[1592, 2991, 5831, 7881]"
494,O(CC#N)[#1]>>C=N[#1].O=C,"[341, 1396, 5099, 5688]"
495,C(c1cccn1)[#1]>>C=C1C([#1])C=CN1,"[2085, 8592, 11082, 11343]"
496,CCC#C>>CC(=C)C,"[3905, 4031, 4056, 11154]"
497,c1c([#1])cnn1>>C1([#1])[C&+]=C[N&-]N1,"[1805, 3209, 5385, 11751]"
498,O(C(C=O)[#1])[#1]>>O=CC(O[#1])[#1],"[214, 1969, 2240, 4246]"
499,CCC=C>>CC1CC1,"[7413, 8789, 9034, 11299]"
500,CCC(O[#1])C>>C[#1].C(C=O)C,"[1862, 6973, 7835, 8081]"
501,CCC(O[#1])[#1]>>C[#1].C(C=O)[#1],"[1295, 1912, 4133, 10729]"
502,c1c([#1])ccn1>>C(=C=CC=N)[#1],"[1062, 4209, 7180, 11080]"
503,CCC1CN1>>CC=C.C=N,"[2193, 3847, 4189, 5538]"
504,c1c([#1])cco1>>C#CC(C=O)[#1],"[2179, 2946, 9786, 10682]"
505,c1c([#1])occ1>>C(=C=O)[#1].C#C,"[972, 7658, 11692, 11712]"
506,C(=O)CC=O>>C1([O&+]=[C&-])OC1,"[1624, 9302, 9940, 10201]"
507,OC(C)[#1].O>>C[#1].[O&+]=C.[O&-],"[1455, 5739, 10095, 10709]"
508,C(C)OC>>C=O.CC,"[2292, 2792, 6123, 10849]"
509,C(=N[#1])O>>C#N.O[#1],"[6303, 7750, 8086, 9539]"
510,CN(CC)[#1]>>C[#1].N(=C)C,"[159, 2543, 5436, 8125]"
511,c1cnc([#1])c1>>C1=CNCC1[#1],"[700, 4041, 5665, 8810]"
512,CCN.O>>[C&-][N&+].CO,"[4567, 5820, 6803, 8104]"
513,c1cnc([#1])c1>>C1=C[N&+]([#1])[C&-]=C1,"[682, 4043, 5666, 8803]"
514,C(=O)[#1].O>>[C&+]O[#1].[O&-],"[4470, 5707, 9937, 10507]"
515,c1cccn1[#1]>>C1=NC=CC1[#1],"[2097, 8582, 10036, 11074]"
516,CCN.O>>C[N&+]C.[O&-],"[3284, 4823, 8255, 9587]"
517,NC[#1].O>>[N&+][C&-].O[#1],"[328, 1192, 2910, 6243]"
518,c1cccn1>>CNC1C=C1,"[1071, 4208, 6928, 8481]"
519,O/C=N\[#1]>>C#N.O[#1],"[1673, 3467, 6401, 10357]"
520,CCC.O>>[C&+].CC.[O&-],"[3277, 6412, 8263, 9980]"
521,C(CC[#1])[#1]>>C=C.C.[#1][#1],"[7627, 7677, 9021, 11736]"
522,CN.O>>N.OC,"[2031, 6237, 10133, 11403]"
523,C(CO)[#1].N>>C=C.N[#1].O,"[1339, 4995, 5139, 8335]"
524,c1cnc([#1])n1>>C1=CNCN1[#1],"[84, 1268, 2485, 8312]"
525,CCO.O>>[C&-][O&+].CO,"[1933, 4764, 9473, 9479]"
526,C[#1].C#C.O>>CO.C=C[#1],"[2876, 4463, 7300, 9277]"
527,CC(C[#1])O[#1]>>CCC=O.[#1][#1],"[1918, 6422, 8082, 10668]"
